Team ID,BIN ID,AFS FILE,Team Name
174,147,0_sound.afs,R.C. Deportivo
175,147,0_sound.afs,R.C.D. Espanyol
176,147,0_sound.afs,R.C.D. Mallorca
177,147,0_sound.afs,Sevilla F.C.
178,147,0_sound.afs,Valencia C.F.
179,147,0_sound.afs,Villarreal C.F.
180,82,0_sound.afs,Lisbonera
181,112,0_sound.afs,FC Bosphorus
182,82,0_sound.afs,Celtic
183,82,0_sound.afs,Djurgardens IF
184,112,0_sound.afs,Dynamo Kiev
185,82,0_sound.afs,FC Belgium
186,82,0_sound.afs,FC Kopenhagen
187,82,0_sound.afs,FC Porto
188,212,0_sound.afs,Constanti
189,112,0_sound.afs,Galatasaray
190,112,0_sound.afs,Russia Rail FC
191,112,0_sound.afs,Peloponnisos
192,112,0_sound.afs,Athenakos FC
193,82,0_sound.afs,Rangers
194,82,0_sound.afs,Rosenborg BK
195,82,0_sound.afs,Bruxelles
196,112,0_sound.afs,Sheffcor Domake
197,112,0_sound.afs,AC Czech
198,82,0_sound.afs,Esportiva
199,127,0_sound.afs,Caopolo
200,312,0_sound.afs,PES United
201,317,0_sound.afs,WE United
202,332,0_sound.afs,World All-Stars
203,327,0_sound.afs,European All-Stars
204,347,0_sound.afs,North American All-Stars
205,352,0_sound.afs,South American All-Stars
206,357,0_sound.afs,Asia Oceanian All-Stars
207,362,0_sound.afs,African All-Stars
208,172,0_sound.afs,Master League Youth Squad
209,172,0_sound.afs,Master League Veterans
210,172,0_sound.afs,Galacticos
211,172,0_sound.afs,The Jaguars
212,172,0_sound.afs,The Oxen
213,172,0_sound.afs,The Goliaths
214,172,0_sound.afs,Little Rascals
215,172,0_sound.afs,The Lefties
216,172,0_sound.afs,Gli Pelati
217,172,0_sound.afs,Goalies
218,367,0_sound.afs,ML United
219,87,0_sound.afs,Canuch
220,87,0_sound.afs,Rawore
